average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.073379,-0.038731267228722575,1.855836,0.15700224980711938,115.12,3.73,113.45,3.59,0.5746044219083991,723,3936,164.0,41984,167936
2.0237725,-0.03892942804843187,1.7267153,0.1423708363622427,113.39,3.63,111.25,3.64,0.6498187399130508,732,3960,165.0,42240,168960
2.134298,-0.04160171217285097,1.7139881,0.1327336385846138,113.85,3.53,112.04,3.61,0.6415659931759117,735,3984,166.0,42496,169984
2.0120113,-0.03701030638068915,1.4968767,0.127798702865839,111.57,3.45,109.84,3.42,0.6615571869241581,694,4008,167.0,42752,171008
2.192507,-0.03763518743216991,1.4178772,0.12588663034141065,108.73,3.55,106.43,3.32,0.6508080444300237,695,4032,168.0,43008,172032
1.992845,-0.03720753289759159,1.6386589,0.13715396836400032,109.56,3.66,108.98,3.29,0.4904236613477453,727,4056,169.0,43264,173056
2.162141,-0.037483531469479206,1.5882564,0.13057258792221546,109.56,3.53,102.65,2.98,0.6961253490876029,728,4080,170.0,43520,174080
2.1030562,-0.03985068304464221,1.5663692,0.13203493379056452,104.35,3.27,99.49,2.79,0.617512003462882,736,4104,171.0,43776,175104
2.2555194,-0.03628709653392434,1.0985403,0.1269176957756281,99.77,2.87,99.53,2.82,0.690903688791254,731,4128,172.0,44032,176128
2.2423828,-0.035608159210532904,1.488745,0.13012670032680035,101.54,2.97,97.55,2.67,0.39489973238461185,735,4152,173.0,44288,177152
2.11805,-0.03792841073125601,1.6884032,0.1361410503834486,101.03,3.01,98.56,2.63,0.606632754815864,742,4176,174.0,44544,178176
2.15898,-0.036727322787046435,1.3897483,0.13621081322431564,100.1,3.09,100.76,2.77,0.5823943112749557,711,4200,175.0,44800,179200
2.2146769,-0.03724420875310898,1.3085384,0.14024793080985545,98.67,3.05,95.72,2.67,0.4471743309711702,680,4224,176.0,45056,180224
2.2958734,-0.035295286234468225,1.3684762,0.13411402985453605,100.21,2.99,98.17,2.85,0.6433672177189769,692,4248,177.0,45312,181248
2.1545224,-0.03707251505926251,1.4326612,0.12536694198846818,97.76,2.91,97.0,2.89,0.6600434634768727,736,4272,178.0,45568,182272
2.0800993,-0.03931634126231074,1.4011662,0.13541264697909355,97.38,2.93,94.56,2.85,0.2141335105228127,712,4296,179.0,45824,183296
2.1261587,-0.03855756476521492,1.2575237,0.13542138159275055,96.61,2.89,98.5,3.12,0.27976614858681126,712,4320,180.0,46080,184320
2.1611705,-0.04145293039269746,1.2377473,0.1409417013078928,100.44,3.21,97.55,3.09,0.06023682132428865,689,4344,181.0,46336,185344
2.2322624,-0.03884645646438003,1.2663314,0.14115912958979607,100.92,3.24,100.5,3.3,0.002296422472558124,708,4368,182.0,46592,186368
2.1597388,-0.03851293537765741,1.282863,0.12351570252329111,104.14,3.34,98.44,3.1,0.42671003754980075,733,4392,183.0,46848,187392
2.2268677,-0.040508788600564005,1.4210601,0.13188219133764506,103.19,3.22,96.03,3.08,0.4364412704688442,720,4416,184.0,47104,188416
2.1420274,-0.04431063063442707,1.4321107,0.1274656429514289,102.34,3.03,95.23,2.84,0.33136956952917307,700,4440,185.0,47360,189440
